,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
11,0.0584,https://api.spotify.com/v1/audio-analysis/0aEwbmIKDdv94O1sm38Y2B,0.482,198380,0.472,0aEwbmIKDdv94O1sm38Y2B,0.169,2,0.112,-7.979,1,0.0258,144.912,4,https://api.spotify.com/v1/tracks/0aEwbmIKDdv94O1sm38Y2B,audio_features,spotify:track:0aEwbmIKDdv94O1sm38Y2B,0.341,Bonny Doon,A Lotta Things,1,
12,0.661,https://api.spotify.com/v1/audio-analysis/07wbk15oNiLiQRcEteQQ2u,0.79,210828,0.713,07wbk15oNiLiQRcEteQQ2u,0.00374,2,0.103,-5.561,1,0.0344,114.761,4,https://api.spotify.com/v1/tracks/07wbk15oNiLiQRcEteQQ2u,audio_features,spotify:track:07wbk15oNiLiQRcEteQQ2u,0.915,The Woolen Men,In Disguise,1,
13,0.863,https://api.spotify.com/v1/audio-analysis/0I9Xtmb9a1ej3oJIcnjyLS,0.58,125933,0.47,0I9Xtmb9a1ej3oJIcnjyLS,0.931,3,0.11,-11.923,1,0.0338,111.464,4,https://api.spotify.com/v1/tracks/0I9Xtmb9a1ej3oJIcnjyLS,audio_features,spotify:track:0I9Xtmb9a1ej3oJIcnjyLS,0.43,Duster,Gold Dust,1,
14,0.162,https://api.spotify.com/v1/audio-analysis/7fR7pgBcRGjTYCOJzjnYEc,0.496,188173,0.505,7fR7pgBcRGjTYCOJzjnYEc,0.832,2,0.104,-9.569,1,0.0477,127.351,4,https://api.spotify.com/v1/tracks/7fR7pgBcRGjTYCOJzjnYEc,audio_features,spotify:track:7fR7pgBcRGjTYCOJzjnYEc,0.196,Duster,Heading for the Door,1,
15,0.00401,https://api.spotify.com/v1/audio-analysis/230Hyo6UwjJ3aarAcG6tsg,0.341,303493,0.628,230Hyo6UwjJ3aarAcG6tsg,0.29,4,0.051,-6.952,1,0.0329,132.176,4,https://api.spotify.com/v1/tracks/230Hyo6UwjJ3aarAcG6tsg,audio_features,spotify:track:230Hyo6UwjJ3aarAcG6tsg,0.195,Pile,Prom Song,1,
16,0.112,https://api.spotify.com/v1/audio-analysis/0QIsRWFUlg4Zrqfa5Du9TC,0.161,210549,0.828,0QIsRWFUlg4Zrqfa5Du9TC,0.963,2,0.0702,-4.422,1,0.0532,153.048,4,https://api.spotify.com/v1/tracks/0QIsRWFUlg4Zrqfa5Du9TC,audio_features,spotify:track:0QIsRWFUlg4Zrqfa5Du9TC,0.035,Perfect Pussy,Interference Fits,1,
17,0.367,https://api.spotify.com/v1/audio-analysis/1RqaZbkGvBliNFOCDgTqCY,0.55,401200,0.601,1RqaZbkGvBliNFOCDgTqCY,0.572,11,0.296,-10.245,0,0.0471,93.407,4,https://api.spotify.com/v1/tracks/1RqaZbkGvBliNFOCDgTqCY,audio_features,spotify:track:1RqaZbkGvBliNFOCDgTqCY,0.323,Polvo,Fast Canoe,1,
18,0.0323,https://api.spotify.com/v1/audio-analysis/3wnJ90SCPCKvU9Jzw7osZn,0.54,334167,0.598,3wnJ90SCPCKvU9Jzw7osZn,0.0185,5,0.159,-9.151,1,0.0277,77.08,4,https://api.spotify.com/v1/tracks/3wnJ90SCPCKvU9Jzw7osZn,audio_features,spotify:track:3wnJ90SCPCKvU9Jzw7osZn,0.728,Sonny & The Sunsets,Pretend You Love Me,1,
19,0.904,https://api.spotify.com/v1/audio-analysis/0P6SReGYBtbX9VThg1ERP8,0.368,261813,0.828,0P6SReGYBtbX9VThg1ERP8,0.18,3,0.167,-5.33,1,0.0827,130.618,4,https://api.spotify.com/v1/tracks/0P6SReGYBtbX9VThg1ERP8,audio_features,spotify:track:0P6SReGYBtbX9VThg1ERP8,0.44,Sonny & The Sunsets,green blood,1,
20,0.0137,https://api.spotify.com/v1/audio-analysis/4PWixmEsqBNNfGpoU2osjZ,0.434,306547,0.907,4PWixmEsqBNNfGpoU2osjZ,0.588,5,0.202,-4.338,0,0.0448,121.77,4,https://api.spotify.com/v1/tracks/4PWixmEsqBNNfGpoU2osjZ,audio_features,spotify:track:4PWixmEsqBNNfGpoU2osjZ,0.616,Sonny & The Sunsets,dark corners,1,
21,0.439,https://api.spotify.com/v1/audio-analysis/7hwtxUMEKrwncnBzdszkMZ,0.576,224493,0.565,7hwtxUMEKrwncnBzdszkMZ,0.318,8,0.0991,-6.908,1,0.028,128.666,4,https://api.spotify.com/v1/tracks/7hwtxUMEKrwncnBzdszkMZ,audio_features,spotify:track:7hwtxUMEKrwncnBzdszkMZ,0.478,Sonny & The Sunsets,mutilator,1,
22,0.0489,https://api.spotify.com/v1/audio-analysis/2mGQ8gUdZNAbb3Bheq3NLr,0.582,392240,0.807,2mGQ8gUdZNAbb3Bheq3NLr,0.197,2,0.105,-6.929,1,0.0289,116.077,4,https://api.spotify.com/v1/tracks/2mGQ8gUdZNAbb3Bheq3NLr,audio_features,spotify:track:2mGQ8gUdZNAbb3Bheq3NLr,0.969,Sonny & The Sunsets,Lovin' on an Older Gal,1,
23,0.0256,https://api.spotify.com/v1/audio-analysis/28vLIXIsqYsR9KvxByYu0g,0.315,256872,0.821,28vLIXIsqYsR9KvxByYu0g,0.857,3,0.175,-7.033,1,0.0531,150.667,4,https://api.spotify.com/v1/tracks/28vLIXIsqYsR9KvxByYu0g,audio_features,spotify:track:28vLIXIsqYsR9KvxByYu0g,0.373,Pile,Pets,1,
24,0.174,https://api.spotify.com/v1/audio-analysis/6IHUTNaQoFYuMmOi0AeT7h,0.295,276373,0.354,6IHUTNaQoFYuMmOi0AeT7h,0.207,7,0.0954,-10.345,0,0.0312,141.716,4,https://api.spotify.com/v1/tracks/6IHUTNaQoFYuMmOi0AeT7h,audio_features,spotify:track:6IHUTNaQoFYuMmOi0AeT7h,0.0634,Pile,Dogs,1,
25,0.767,https://api.spotify.com/v1/audio-analysis/7GngvBFkspBIPX2blHmbOb,0.381,219787,0.254,7GngvBFkspBIPX2blHmbOb,0.408,1,0.108,-18.107,1,0.0334,117.375,4,https://api.spotify.com/v1/tracks/7GngvBFkspBIPX2blHmbOb,audio_features,spotify:track:7GngvBFkspBIPX2blHmbOb,0.204,Pile,Making Eyes,1,
26,0.0273,https://api.spotify.com/v1/audio-analysis/3kMGiMU4JiTvO2EECFt7l0,0.253,343067,0.486,3kMGiMU4JiTvO2EECFt7l0,0.812,8,0.101,-10.304,1,0.03,74.651,4,https://api.spotify.com/v1/tracks/3kMGiMU4JiTvO2EECFt7l0,audio_features,spotify:track:3kMGiMU4JiTvO2EECFt7l0,0.0732,Pile,Rope's Length,1,
27,1.27e-05,https://api.spotify.com/v1/audio-analysis/173BB6MceXb3oAu5bIm64V,0.348,188125,0.777,173BB6MceXb3oAu5bIm64V,0.036,7,0.284,-5.425,1,0.0317,105.988,4,https://api.spotify.com/v1/tracks/173BB6MceXb3oAu5bIm64V,audio_features,spotify:track:173BB6MceXb3oAu5bIm64V,0.496,Euphoria Again,Mickey Shoots Up,1,
28,0.147,https://api.spotify.com/v1/audio-analysis/6jvqaaUtBmcnxQnf5XKzFo,0.525,192028,0.635,6jvqaaUtBmcnxQnf5XKzFo,0.000114,5,0.122,-7.805,1,0.0239,82.445,4,https://api.spotify.com/v1/tracks/6jvqaaUtBmcnxQnf5XKzFo,audio_features,spotify:track:6jvqaaUtBmcnxQnf5XKzFo,0.668,Sugar Candy Mountain,Windows,1,
29,0.165,https://api.spotify.com/v1/audio-analysis/07AyOq04PxsuyvltiVdzYa,0.642,188600,0.642,07AyOq04PxsuyvltiVdzYa,0.000366,2,0.312,-9.127,1,0.0398,123.526,4,https://api.spotify.com/v1/tracks/07AyOq04PxsuyvltiVdzYa,audio_features,spotify:track:07AyOq04PxsuyvltiVdzYa,0.707,Sonny & The Sunsets,Teen Age Thugs,1,
30,0.0961,https://api.spotify.com/v1/audio-analysis/5op53ANI4exiWqFHKuwWxd,0.523,272507,0.477,5op53ANI4exiWqFHKuwWxd,0.000106,6,0.101,-9.076,1,0.0254,76.973,4,https://api.spotify.com/v1/tracks/5op53ANI4exiWqFHKuwWxd,audio_features,spotify:track:5op53ANI4exiWqFHKuwWxd,0.249,Modest Mouse,The World At Large,1,
31,0.0884,https://api.spotify.com/v1/audio-analysis/6kPKKwIpS3sRDJByPSQHri,0.464,144507,0.467,6kPKKwIpS3sRDJByPSQHri,0.0561,7,0.141,-9.688,1,0.0306,95.204,4,https://api.spotify.com/v1/tracks/6kPKKwIpS3sRDJByPSQHri,audio_features,spotify:track:6kPKKwIpS3sRDJByPSQHri,0.509,Modest Mouse,Dukes Up,1,
32,0.00395,https://api.spotify.com/v1/audio-analysis/2Z6LKuvQFQxXXYkKHw68NS,0.495,278293,0.728,2Z6LKuvQFQxXXYkKHw68NS,0.000528,7,0.0676,-7.797,1,0.0546,100.308,4,https://api.spotify.com/v1/tracks/2Z6LKuvQFQxXXYkKHw68NS,audio_features,spotify:track:2Z6LKuvQFQxXXYkKHw68NS,0.454,Modest Mouse,Interstate 8,1,
33,0.434,https://api.spotify.com/v1/audio-analysis/1pRV0P4jb57PHhPZEISj81,0.559,261333,0.491,1pRV0P4jb57PHhPZEISj81,0.0175,10,0.0708,-11.491,1,0.0818,74.319,4,https://api.spotify.com/v1/tracks/1pRV0P4jb57PHhPZEISj81,audio_features,spotify:track:1pRV0P4jb57PHhPZEISj81,0.2,Modest Mouse,Ionizes & Atomizes,1,
34,0.00463,https://api.spotify.com/v1/audio-analysis/2yQkUV0EEDMfHQ3BqkcrOa,0.394,374800,0.639,2yQkUV0EEDMfHQ3BqkcrOa,0.0152,6,0.111,-4.833,0,0.039,172.95,4,https://api.spotify.com/v1/tracks/2yQkUV0EEDMfHQ3BqkcrOa,audio_features,spotify:track:2yQkUV0EEDMfHQ3BqkcrOa,0.212,Modest Mouse,Cowboy Dan,1,
35,0.833,https://api.spotify.com/v1/audio-analysis/5qUxsld5bdqut4zm5dGuGI,0.395,173773,0.34,5qUxsld5bdqut4zm5dGuGI,4.37e-05,0,0.159,-6.66,1,0.0309,153.644,3,https://api.spotify.com/v1/tracks/5qUxsld5bdqut4zm5dGuGI,audio_features,spotify:track:5qUxsld5bdqut4zm5dGuGI,0.0749,Modest Mouse,Bankrupt on Selling,1,
36,0.0764,https://api.spotify.com/v1/audio-analysis/0WkhmPY4bLSi1Lvtw72jiO,0.491,349600,0.628,0WkhmPY4bLSi1Lvtw72jiO,0.00522,7,0.0618,-4.579,1,0.0347,163.619,4,https://api.spotify.com/v1/tracks/0WkhmPY4bLSi1Lvtw72jiO,audio_features,spotify:track:0WkhmPY4bLSi1Lvtw72jiO,0.714,Modest Mouse,Trailer Trash,1,
37,0.0063,https://api.spotify.com/v1/audio-analysis/6ccbDtihsiqqviUM0YqbUu,0.648,242933,0.522,6ccbDtihsiqqviUM0YqbUu,0.00106,0,0.223,-4.787,1,0.0305,81.515,4,https://api.spotify.com/v1/tracks/6ccbDtihsiqqviUM0YqbUu,audio_features,spotify:track:6ccbDtihsiqqviUM0YqbUu,0.365,Modest Mouse,Heart Cooks Brain,1,
38,0.296,https://api.spotify.com/v1/audio-analysis/6V0g1p7KaOzWc3wbjPlQuX,0.538,239133,0.566,6V0g1p7KaOzWc3wbjPlQuX,6e-06,7,0.12,-7.541,1,0.0848,82.234,4,https://api.spotify.com/v1/tracks/6V0g1p7KaOzWc3wbjPlQuX,audio_features,spotify:track:6V0g1p7KaOzWc3wbjPlQuX,0.424,Modest Mouse,3rd Planet,1,
39,0.694,https://api.spotify.com/v1/audio-analysis/3A4UV1tW9VbcXWvHoOYMqR,0.544,161333,0.315,3A4UV1tW9VbcXWvHoOYMqR,0.156,1,0.103,-12.019,0,0.0315,62.319,4,https://api.spotify.com/v1/tracks/3A4UV1tW9VbcXWvHoOYMqR,audio_features,spotify:track:3A4UV1tW9VbcXWvHoOYMqR,0.16,Modest Mouse,Perfect Disguise,1,
40,0.55,https://api.spotify.com/v1/audio-analysis/4R9ajHtzcR623rxK4zb7l5,0.367,104760,0.281,4R9ajHtzcR623rxK4zb7l5,0.0,7,0.129,-10.697,1,0.0384,199.144,4,https://api.spotify.com/v1/tracks/4R9ajHtzcR623rxK4zb7l5,audio_features,spotify:track:4R9ajHtzcR623rxK4zb7l5,0.643,Modest Mouse,Wild Packs of Family Dogs,1,
41,0.827,https://api.spotify.com/v1/audio-analysis/2ROQMg9bSzYg29qs0JLALO,0.561,198667,0.351,2ROQMg9bSzYg29qs0JLALO,1.99e-05,2,0.0928,-7.511,1,0.0307,78.955,4,https://api.spotify.com/v1/tracks/2ROQMg9bSzYg29qs0JLALO,audio_features,spotify:track:2ROQMg9bSzYg29qs0JLALO,0.351,Modest Mouse,Lives,1,
42,0.856,https://api.spotify.com/v1/audio-analysis/1fiE4wJ16gQkiWfPGPTfMC,0.469,318373,0.397,1fiE4wJ16gQkiWfPGPTfMC,0.436,7,0.147,-7.55,1,0.034,115.673,4,https://api.spotify.com/v1/tracks/1fiE4wJ16gQkiWfPGPTfMC,audio_features,spotify:track:1fiE4wJ16gQkiWfPGPTfMC,0.196,Modest Mouse,"Whenever You Breath out, I Breathe In (Positive Negative)",1,
43,0.0839,https://api.spotify.com/v1/audio-analysis/27QCaXOhT6qY0NT6tv5IZ6,0.622,254667,0.413,27QCaXOhT6qY0NT6tv5IZ6,0.00235,8,0.131,-9.975,1,0.0457,130.166,4,https://api.spotify.com/v1/tracks/27QCaXOhT6qY0NT6tv5IZ6,audio_features,spotify:track:27QCaXOhT6qY0NT6tv5IZ6,0.52,Modest Mouse,Bukowski,1,
44,0.304,https://api.spotify.com/v1/audio-analysis/2FgVVn5jX8lE7nSLnYKLhE,0.461,181507,0.675,2FgVVn5jX8lE7nSLnYKLhE,0.00711,7,0.132,-6.098,1,0.0659,186.183,4,https://api.spotify.com/v1/tracks/2FgVVn5jX8lE7nSLnYKLhE,audio_features,spotify:track:2FgVVn5jX8lE7nSLnYKLhE,0.423,Modest Mouse,One Chance,1,
45,0.0355,https://api.spotify.com/v1/audio-analysis/3HdcqQpq7zb5GbEKBDY34p,0.593,184347,0.926,3HdcqQpq7zb5GbEKBDY34p,0.0582,6,0.311,-5.361,0,0.0319,100.011,4,https://api.spotify.com/v1/tracks/3HdcqQpq7zb5GbEKBDY34p,audio_features,spotify:track:3HdcqQpq7zb5GbEKBDY34p,0.945,Fruit Bats,Humbug Mountain Song,1,
46,0.961,https://api.spotify.com/v1/audio-analysis/2I6K1Usw3hrt5eKDqnkCHA,0.622,241773,0.551,2I6K1Usw3hrt5eKDqnkCHA,0.787,4,0.141,-7.521,1,0.0348,119.61,3,https://api.spotify.com/v1/tracks/2I6K1Usw3hrt5eKDqnkCHA,audio_features,spotify:track:2I6K1Usw3hrt5eKDqnkCHA,0.375,Fruit Bats,Flamingo,1,
47,0.641,https://api.spotify.com/v1/audio-analysis/3hnQjMbQWgWsXQW7mqQFe7,0.558,224080,0.44,3hnQjMbQWgWsXQW7mqQFe7,0.00401,5,0.132,-8.205,1,0.03,140.637,4,https://api.spotify.com/v1/tracks/3hnQjMbQWgWsXQW7mqQFe7,audio_features,spotify:track:3hnQjMbQWgWsXQW7mqQFe7,0.67,Fruit Bats,Featherbed,1,
48,0.913,https://api.spotify.com/v1/audio-analysis/72qhn8Cxd4OXXFVxxf2vmi,0.524,170267,0.209,72qhn8Cxd4OXXFVxxf2vmi,0.00216,9,0.113,-10.955,1,0.0422,161.492,4,https://api.spotify.com/v1/tracks/72qhn8Cxd4OXXFVxxf2vmi,audio_features,spotify:track:72qhn8Cxd4OXXFVxxf2vmi,0.475,Fruit Bats,Singing Joy To The World,1,
49,0.0421,https://api.spotify.com/v1/audio-analysis/33ezCcBwVw2SsAvOsFyJSG,0.682,226120,0.837,33ezCcBwVw2SsAvOsFyJSG,0.313,7,0.322,-7.902,1,0.0374,79.598,4,https://api.spotify.com/v1/tracks/33ezCcBwVw2SsAvOsFyJSG,audio_features,spotify:track:33ezCcBwVw2SsAvOsFyJSG,0.886,Fruit Bats,You're Too Weird,1,
50,0.709,https://api.spotify.com/v1/audio-analysis/7nydElFeOUa6tXSh0EOenY,0.529,177640,0.384,7nydElFeOUa6tXSh0EOenY,0.00468,4,0.1,-8.942,0,0.0267,82.019,3,https://api.spotify.com/v1/tracks/7nydElFeOUa6tXSh0EOenY,audio_features,spotify:track:7nydElFeOUa6tXSh0EOenY,0.125,Fruit Bats,It Must Be Easy,1,
51,0.0243,https://api.spotify.com/v1/audio-analysis/6kilGxEfP0Y3z2bSbeGyZ0,0.364,201781,0.512,6kilGxEfP0Y3z2bSbeGyZ0,0.219,9,0.12,-6.242,1,0.038,141.47,4,https://api.spotify.com/v1/tracks/6kilGxEfP0Y3z2bSbeGyZ0,audio_features,spotify:track:6kilGxEfP0Y3z2bSbeGyZ0,0.857,Ty Segall,The Slider,1,
52,0.274,https://api.spotify.com/v1/audio-analysis/42WFbEm4QR0Gn0jh1AaBbm,0.641,133982,0.619,42WFbEm4QR0Gn0jh1AaBbm,8.87e-06,9,0.0903,-8.557,0,0.0439,114.337,4,https://api.spotify.com/v1/tracks/42WFbEm4QR0Gn0jh1AaBbm,audio_features,spotify:track:42WFbEm4QR0Gn0jh1AaBbm,0.469,Sonny & The Sunsets,Baby Jokin,1,
53,0.731,https://api.spotify.com/v1/audio-analysis/2wygBuUWMXrQujBBlwhDCL,0.79,199693,0.44,2wygBuUWMXrQujBBlwhDCL,0.000429,10,0.24,-10.572,1,0.0335,110.129,4,https://api.spotify.com/v1/tracks/2wygBuUWMXrQujBBlwhDCL,audio_features,spotify:track:2wygBuUWMXrQujBBlwhDCL,0.787,Sonny & The Sunsets,Too Young to Burn,1,
54,0.407,https://api.spotify.com/v1/audio-analysis/1cftVbINEW0cPvULE0uLeZ,0.646,192711,0.622,1cftVbINEW0cPvULE0uLeZ,0.000816,0,0.291,-6.358,1,0.0267,110.475,4,https://api.spotify.com/v1/tracks/1cftVbINEW0cPvULE0uLeZ,audio_features,spotify:track:1cftVbINEW0cPvULE0uLeZ,0.692,Sonny & The Sunsets,Secret Plot,1,
55,0.494,https://api.spotify.com/v1/audio-analysis/63PJI7dPUXQ4DW1QiGyvaa,0.55,331920,0.337,63PJI7dPUXQ4DW1QiGyvaa,2.08e-06,1,0.124,-10.945,0,0.079,134.277,4,https://api.spotify.com/v1/tracks/63PJI7dPUXQ4DW1QiGyvaa,audio_features,spotify:track:63PJI7dPUXQ4DW1QiGyvaa,0.153,The Modern Lovers,Hospital,1,
56,0.00801,https://api.spotify.com/v1/audio-analysis/2bbRXduStlyFlvAdPnMgic,0.411,213667,0.665,2bbRXduStlyFlvAdPnMgic,0.000167,0,0.579,-6.426,1,0.0325,119.949,4,https://api.spotify.com/v1/tracks/2bbRXduStlyFlvAdPnMgic,audio_features,spotify:track:2bbRXduStlyFlvAdPnMgic,0.752,Foxygen,How Can You Really,1,
57,0.366,https://api.spotify.com/v1/audio-analysis/5cpgrXhEKLZzix3EuFnRdL,0.378,154340,0.628,5cpgrXhEKLZzix3EuFnRdL,0.948,4,0.123,-6.487,1,0.0314,90.967,4,https://api.spotify.com/v1/tracks/5cpgrXhEKLZzix3EuFnRdL,audio_features,spotify:track:5cpgrXhEKLZzix3EuFnRdL,0.215,Hovvdy,Problem,1,
58,0.383,https://api.spotify.com/v1/audio-analysis/6Y7jzWpZYqq8aUblHDZrZ6,0.678,116229,0.754,6Y7jzWpZYqq8aUblHDZrZ6,0.355,2,0.112,-6.49,1,0.0382,81.182,4,https://api.spotify.com/v1/tracks/6Y7jzWpZYqq8aUblHDZrZ6,audio_features,spotify:track:6Y7jzWpZYqq8aUblHDZrZ6,0.961,The Woolen Men,Real FX,1,
59,0.789,https://api.spotify.com/v1/audio-analysis/0R8xdR9y7LP2gBvRBGGb07,0.571,413578,0.444,0R8xdR9y7LP2gBvRBGGb07,7.03e-06,5,0.143,-6.405,1,0.0242,107.043,4,https://api.spotify.com/v1/tracks/0R8xdR9y7LP2gBvRBGGb07,audio_features,spotify:track:0R8xdR9y7LP2gBvRBGGb07,0.378,Cut Worms,Song of the Highest Tower,1,
60,0.674,https://api.spotify.com/v1/audio-analysis/2kkJENGuusOzj1vXN3s0xO,0.566,250013,0.511,2kkJENGuusOzj1vXN3s0xO,3.02e-06,6,0.221,-8.826,0,0.0614,123.311,4,https://api.spotify.com/v1/tracks/2kkJENGuusOzj1vXN3s0xO,audio_features,spotify:track:2kkJENGuusOzj1vXN3s0xO,0.258,Destroyer,Painter in Your Pocket,1,
61,0.0241,https://api.spotify.com/v1/audio-analysis/2EWG2vhqHcPA3kDKf5337J,0.679,286028,0.694,2EWG2vhqHcPA3kDKf5337J,0.512,0,0.206,-7.375,1,0.0293,106.992,4,https://api.spotify.com/v1/tracks/2EWG2vhqHcPA3kDKf5337J,audio_features,spotify:track:2EWG2vhqHcPA3kDKf5337J,0.747,Destroyer,Tinseltown Swimming in Blood,1,
62,0.301,https://api.spotify.com/v1/audio-analysis/6FlgXdr8JJLfQvMoHQjE0r,0.289,474893,0.662,6FlgXdr8JJLfQvMoHQjE0r,0.815,0,0.176,-7.454,1,0.048,162.086,4,https://api.spotify.com/v1/tracks/6FlgXdr8JJLfQvMoHQjE0r,audio_features,spotify:track:6FlgXdr8JJLfQvMoHQjE0r,0.479,Destroyer,"Hey, Snow White",1,
63,0.628,https://api.spotify.com/v1/audio-analysis/0ViYJGdYpyY13p9o4GljXo,0.475,286067,0.666,0ViYJGdYpyY13p9o4GljXo,0.00202,2,0.119,-8.359,1,0.0478,129.517,4,https://api.spotify.com/v1/tracks/0ViYJGdYpyY13p9o4GljXo,audio_features,spotify:track:0ViYJGdYpyY13p9o4GljXo,0.581,Destroyer,Watercolours into the Ocean,1,
64,0.177,https://api.spotify.com/v1/audio-analysis/0IBIcaEBHFJod8teS3QMum,0.495,174027,0.367,0IBIcaEBHFJod8teS3QMum,0.0,0,0.122,-12.041,1,0.0246,78.147,4,https://api.spotify.com/v1/tracks/0IBIcaEBHFJod8teS3QMum,audio_features,spotify:track:0IBIcaEBHFJod8teS3QMum,0.684,Sonny & The Sunsets,Death Cream,1,
65,0.818,https://api.spotify.com/v1/audio-analysis/6zuEPz5fFlbp8YDTy5OXxu,0.636,218640,0.523,6zuEPz5fFlbp8YDTy5OXxu,0.000153,5,0.0994,-10.15,1,0.0316,115.188,4,https://api.spotify.com/v1/tracks/6zuEPz5fFlbp8YDTy5OXxu,audio_features,spotify:track:6zuEPz5fFlbp8YDTy5OXxu,0.389,Sonny & The Sunsets,Stranded,1,
66,0.401,https://api.spotify.com/v1/audio-analysis/71Yv52VlmPw7DrTjnCGgFS,0.5,247067,0.521,71Yv52VlmPw7DrTjnCGgFS,0.0343,9,0.089,-12.197,1,0.0522,168.695,4,https://api.spotify.com/v1/tracks/71Yv52VlmPw7DrTjnCGgFS,audio_features,spotify:track:71Yv52VlmPw7DrTjnCGgFS,0.716,Sonny & The Sunsets,She Plays Yo Yo with My Mind,1,
